dt_iso,temp,pressure,humidity,wind_speed,wind_deg,clouds_all
2015-06-12,11.023500000000041,869.0,87.0,1.0,189.5,0.0
2015-06-13,11.777000000000015,871.0,85.5,1.0,175.5,0.0
2015-06-14,14.439999999999998,871.0,83.0,1.0,15.0,0.0
2015-06-15,14.133000000000038,867.0,68.0,1.0,3.0,0.0
2015-06-16,14.133000000000038,867.0,68.0,1.0,3.0,0.0
2015-06-17,14.133000000000038,867.0,68.0,1.0,3.0,0.0
2015-06-18,14.133000000000038,867.0,68.0,1.0,3.0,0.0
2015-06-19,13.95700000000005,866.0,84.0,2.0,31.0,64.0
2015-06-20,13.569000000000017,866.0,78.0,1.0,2.0,24.0
2015-06-21,13.569000000000017,866.0,78.0,1.0,2.0,24.0
2015-06-22,19.80400000000003,868.0,57.0,1.0,120.5,0.0
2015-06-23,19.80400000000003,868.0,57.0,1.0,120.5,0.0
2015-06-24,25.20936363636366,864.1818181818181,43.09090909090909,0.7272727272727273,172.63636363636363,46.90909090909091
2015-06-25,19.88176923076925,919.3846153846154,61.84615384615385,1.6153846153846154,240.3846153846154,32.53846153846154
2015-06-26,21.119500000000006,1005.8,58.75,2.3,77.4,62.75
2015-06-27,23.37500000000001,1007.7083333333334,45.916666666666664,1.9583333333333333,110.75,53.541666666666664
2015-06-28,25.298260869565233,1009.6521739130435,42.26086956521739,2.0434782608695654,71.6086956521739,28.47826086956522
2015-06-29,28.624347826086982,1010.5217391304348,31.130434782608695,2.260869565217391,35.82608695652174,8.91304347826087
2015-06-30,29.57818181818183,1009.7727272727273,32.0,2.4545454545454546,62.45454545454545,5.0
2015-07-01,29.539000000000023,1013.1,32.3,3.25,90.0,5.0
2015-07-02,29.211666666666687,1012.2916666666666,37.875,4.083333333333333,67.04166666666667,8.125
2015-07-03,30.24750000000002,1010.2083333333334,38.5,2.7916666666666665,59.208333333333336,11.458333333333334
2015-07-04,28.845833333333356,1013.5,40.958333333333336,4.5,84.625,8.333333333333334
2015-07-05,29.622500000000027,1013.1666666666666,35.5,4.25,82.5,23.75
2015-07-06,30.392500000000023,1008.375,32.291666666666664,4.083333333333333,46.875,33.541666666666664
2015-07-07,28.669166666666683,1008.1666666666666,38.583333333333336,4.625,70.0,13.75
2015-07-08,28.476666666666688,1009.25,39.958333333333336,4.75,50.833333333333336,34.583333333333336
2015-07-09,29.950833333333353,1008.875,34.416666666666664,3.2916666666666665,67.08333333333333,7.5
2015-07-10,30.405000000000012,1006.375,34.875,1.875,68.58333333333333,5.0
2015-07-11,28.63291666666669,1006.375,36.75,3.375,54.583333333333336,5.0
2015-07-12,26.24000000000003,1006.9565217391304,36.73913043478261,3.6956521739130435,84.0,21.304347826086957
2015-07-13,26.35833333333335,1007.375,39.5,3.5,49.583333333333336,8.75
2015-07-14,26.71833333333335,1011.0,38.833333333333336,2.375,101.125,16.666666666666668
2015-07-15,27.79166666666667,1011.6666666666666,33.791666666666664,2.25,91.70833333333333,41.041666666666664
2015-07-16,28.18916666666668,1011.6666666666666,30.875,3.2083333333333335,82.91666666666667,56.666666666666664
2015-07-17,25.89750000000001,1011.9166666666666,38.833333333333336,4.375,104.875,62.291666666666664
2015-07-18,24.054166666666685,1012.875,36.0,3.6666666666666665,59.75,37.291666666666664
2015-07-19,25.250833333333343,1011.5,30.625,3.4166666666666665,130.66666666666666,11.875
2015-07-20,24.724583333333353,1012.7083333333334,28.583333333333332,3.9166666666666665,107.08333333333333,5.0
2015-07-21,26.606250000000028,1010.6666666666666,29.916666666666668,2.6666666666666665,52.125,5.0
2015-07-22,27.30708333333335,1011.0,32.333333333333336,3.75,75.95833333333333,29.791666666666668
2015-07-23,27.417500000000018,1013.25,36.25,4.208333333333333,65.125,32.291666666666664
2015-07-24,28.807083333333363,1014.2083333333334,34.125,2.5416666666666665,52.25,11.666666666666666
2015-07-25,30.762916666666673,1011.9166666666666,27.5,2.4583333333333335,84.16666666666667,15.833333333333334
2015-07-26,31.100416666666685,1007.625,25.291666666666668,3.25,48.625,35.208333333333336
2015-07-27,30.06875000000002,1005.2916666666666,26.375,4.0,77.04166666666667,19.166666666666668
2015-07-28,29.787083333333346,1007.8333333333334,26.916666666666668,2.875,79.16666666666667,16.875
2015-07-29,30.033913043478286,1010.8260869565217,28.304347826086957,2.9565217391304346,91.30434782608695,21.956521739130434
2015-07-30,31.298750000000016,1012.0,25.666666666666668,3.125,58.75,14.375
2015-07-31,31.646956521739146,1011.2608695652174,23.869565217391305,2.5652173913043477,153.91304347826087,32.0
2015-08-01,31.450000000000017,1010.5833333333334,25.041666666666668,2.9583333333333335,102.08333333333333,32.833333333333336
2015-08-02,31.318750000000012,1012.4166666666666,26.375,4.958333333333333,57.083333333333336,28.083333333333332
2015-08-03,31.479583333333352,1014.0416666666666,24.833333333333332,3.6666666666666665,85.41666666666667,17.166666666666668
2015-08-04,32.112916666666685,1012.3333333333334,20.125,3.6666666666666665,106.25,22.333333333333332
2015-08-05,30.961304347826104,1009.8695652173913,23.956521739130434,2.5652173913043477,113.08695652173913,14.956521739130435
2015-08-06,30.84916666666668,1007.9166666666666,23.291666666666668,3.75,114.58333333333333,10.166666666666666
2015-08-07,27.734583333333347,1012.125,31.375,4.041666666666667,138.33333333333334,20.0
2015-08-08,25.899166666666677,1015.2916666666666,38.75,4.916666666666667,96.08333333333333,23.666666666666668
2015-08-09,26.703333333333344,1016.4583333333334,35.541666666666664,4.416666666666667,92.08333333333333,18.833333333333332
